,Norwegian
0,jeg
1,det
2,er
3,du
4,ikke
5,en
6,og
7,i
8,har
9,vi
10,på
11,å
12,til
13,deg
14,med
15,meg
16,han
17,hva
18,for
19,som
20,så
21,at
22,de
23,kan
24,den
25,var
26,vil
27,av
28,om
29,skal
30,men
31,et
32,ja
33,her
34,bare
35,hun
36,dere
37,noe
38,nei
39,dette
40,må
41,vet
42,nå
43,ham
44,ut
45,min
46,kom
47,da
48,din
49,oss
50,ha
51,gjør
52,hvor
53,fra
54,være
55,noen
56,der
57,dem
58,se
59,igjen
60,ta
61,ville
62,kommer
63,alle
64,går
65,opp
66,få
67,alt
68,hvorfor
69,tror
70,hvis
71,hvordan
72,gjøre
73,seg
74,ingen
75,sa
76,hadde
77,når
78,takk
79,blir
80,får
81,bra
82,gå
83,henne
84,bli
85,si
86,eller
87,la
88,ser
89,hvem
90,litt
91,hei
92,inn
93,etter
94,denne
95,vel
96,jo
97,ble
98,tilbake
99,kanskje
100,aldri
101,skulle
102,ok
103,to
104,kunne
105,sier
106,trenger
107,over
108,også
109,vært
110,man
111,mer
112,god
113,før
114,tar
115,mye
116,gi
117,selv
118,nok
119,mitt
120,hans
121,sammen
122,dag
123,gang
124,ned
125,gjorde
126,enn
127,andre
128,sett
129,vær
130,mine
131,fikk
132,helt
133,ditt
134,siden
135,år
136,greit
137,mot
138,hele
139,komme
140,godt
141,faen
142,deres
143,snakke
144,mann
145,ved
146,liker
147,rett
148,gjort
149,mener
150,fordi
151,dra
152,sant
153,sånn
154,mange
155,folk
156,alltid
157,dine
158,ting
159,vent
160,hjem
161,tre
162,hold
163,unnskyld
164,tok
165,veldig
166,vår
167,beklager
168,finne
169,tid
170,morgen
171,hit
172,bedre
173,gikk
174,sir
175,burde
176,uten
177,trodde
178,ingenting
179,akkurat
180,kveld
181,far
182,hjelpe
183,virkelig
184,livet
185,elsker
186,vite
187,snakker
188,visste
189,kjenner
190,lenge
191,slik
192,sin
193,står
194,skjer
195,ute
196,samme
197,første
198,død
199,disse
200,hjelp
201,pappa
202,snill
203,feil
204,forstår
205,gir
206,siste
207,mamma
208,hør
209,herregud
210,hennes
211,helvete
212,vei
213,holder
